Frame Number, Receipt Time
158, 156125536.618100
163, 156125536.694000
167, 156125536.722200
169, 156125536.738600
173, 156125536.757200
177, 156125536.766900
179, 156125536.798100
549, 156125539.191300
553, 156125555.326400
554, 156125563.807900
560, 156125590.049100
563, 156125607.118300
565, 156125614.970000
567, 156125627.751800
573, 156125655.466400
576, 156125673.120500
0, 156125681.783400
3, 156125695.077900
6, 156125712.668500
9, 156125728.248800
15, 156125757.551800
18, 156125773.564600
21, 156125788.740500
25, 156125806.422700
28, 156125822.016500
31, 156125838.669300
33, 156125846.749900
38, 156125873.916900
42, 156125889.970400
45, 156125906.543300
48, 156125923.083100
51, 156125938.644100
55, 156125955.405500
58, 156125971.978900
62, 156125989.886000
65, 156126006.750000
68, 156126022.802900
71, 156126038.981200
75, 156126055.394100
76, 156126063.209800
79, 156126079.240000
83, 156126095.863900
86, 156126112.847100
89, 156126129.151800
93, 156126146.792800
98, 156126173.049100
102, 156126190.824100
105, 156126206.727300
108, 156126223.232800
109, 156126229.586400
115, 156126256.466400
118, 156126273.312900
120, 156126280.088200
125, 156126306.632900
128, 156126323.189400
129, 156126329.565800
135, 156126356.713700
138, 156126373.198800
140, 156126379.926200
145, 156126406.484200
152, 156126440.831600
153, 156126447.881000
155, 156126455.548200
158, 156126471.978100
161, 156126489.157300
163, 156126498.638300
168, 156126521.967700
171, 156126538.589200
175, 156126556.441400
178, 156126572.876200
182, 156126589.791200
185, 156126606.711800
188, 156126623.231100
189, 156126629.522400
195, 156126656.748900
198, 156126673.652000
200, 156126681.183900
205, 156126705.513600
208, 156126723.379600
210, 156126732.585300
215, 156126756.786400
218, 156126772.714100
221, 156126788.978100
223, 156126797.040300
228, 156126823.130700
232, 156126840.449400
233, 156126848.403000
238, 156126871.987100
242, 156126890.365600
245, 156126905.365800
248, 156126923.462300
252, 156126940.656100
255, 156126955.370600
258, 156126973.417500
261, 156126988.661700
265, 156127006.726600
268, 156127021.961100
272, 156127040.544500
275, 156127056.217800
278, 156127073.365900
280, 156127081.162300
285, 156127105.562000
288, 156127123.470800
290, 156127131.034900
295, 156127155.634600
298, 156127173.382900
300, 156127180.828100
305, 156127206.821500
308, 156127223.713600
310, 156127231.153300
313, 156127246.253900
318, 156127273.604300
320, 156127281.302400
323, 156127294.747100
326, 156127313.045100
328, 156127324.339000
335, 156127355.340700
338, 156127372.090700
341, 156127388.583600
345, 156127406.837600
348, 156127421.865600
352, 156127440.102900
353, 156127448.209500
358, 156127473.558600
362, 156127490.374700
363, 156127496.836700
368, 156127523.386000
372, 156127540.385100
373, 156127547.142100
378, 156127572.109700
381, 156127588.806400
383, 156127597.811600
388, 156127622.079500
392, 156127640.009600
393, 156127647.404300
396, 156127661.528300
399, 156127679.208700
403, 156127696.301300
406, 156127711.550600
409, 156127724.749500
415, 156127755.209800
416, 156127763.261500
422, 156127790.154300
426, 156127812.877900
432, 156127839.781500
433, 156127848.918100
435, 156127856.640300
438, 156127873.326600
441, 156127889.029300
445, 156127906.754000
448, 156127923.307600
451, 156127939.160500
455, 156127956.723100
458, 156127971.975100
462, 156127989.864500
465, 156128005.391400
468, 156128023.973000
471, 156128039.535100
475, 156128055.363700
478, 156128073.346600
482, 156128090.144500
483, 156128097.697100
486, 156128112.835800
490, 156128130.003400
493, 156128146.386000
496, 156128162.826300
499, 156128179.570600
505, 156128205.266700
508, 156128223.230600
509, 156128229.598200
515, 156128256.512400
518, 156128273.831600
520, 156128281.381200
525, 156128305.916700
528, 156128323.212200
530, 156128329.847100
535, 156128355.359700
538, 156128372.013200
540, 156128380.359700
545, 156128405.639200
548, 156128423.253000
550, 156128429.746100
555, 156128455.591500
556, 156128463.450400
559, 156128477.730600
563, 156128496.450600
566, 156128512.927100
569, 156128529.236500
572, 156128541.436000
575, 156128557.685700
0, 156128574.845100
4, 156128590.200700
8, 156128613.105500
14, 156128640.151900
17, 156128657.055000
18, 156128663.627700
24, 156128690.263700
27, 156128706.640000
28, 156128713.478000
33, 156128738.660100
Frame Number, Receipt Time
38, 156128764.260800
43, 156128788.655000
47, 156128807.063000
50, 156128823.457300
54, 156128840.074600
57, 156128856.863500
59, 156128864.916000
61, 156128878.158800
67, 156128905.306800
70, 156128923.276700
74, 156128939.695800
77, 156128955.407800
80, 156128972.916100
83, 156128988.718600
87, 156129006.448300
90, 156129021.893100
94, 156129039.978700
97, 156129055.333400
100, 156129073.844300
104, 156129090.368600
105, 156129097.878100
110, 156129121.979100
114, 156129140.241600
115, 156129147.973900
120, 156129171.997000
124, 156129190.163900
125, 156129197.749900
130, 156129223.538200
132, 156129231.563800
135, 156129246.300700
140, 156129273.485100
142, 156129281.566700
145, 156129294.972900
148, 156129312.614000
151, 156129327.823700
155, 156129346.127700
160, 156129373.182100
164, 156129390.198000
167, 156129405.406400
170, 156129423.442000
172, 156129430.859400
177, 156129455.750700
180, 156129472.053200
182, 156129480.273500
187, 156129505.466500
190, 156129523.173900
191, 156129529.677900
197, 156129556.839400
200, 156129573.601000
202, 156129581.217600
207, 156129605.562700
210, 156129623.485600
212, 156129631.315800
215, 156129645.140000
218, 156129662.857200
222, 156129680.093200
225, 156129696.552600
228, 156129713.158700
231, 156129729.490400
237, 156129756.484500
240, 156129773.289200
243, 156129788.570700
247, 156129806.789900
250, 156129823.248200
253, 156129838.637200
257, 156129856.824800
259, 156129865.156300
263, 156129888.865900
267, 156129906.867500
