Frame Number, Timestamp
33, 158652205.715400
137, 158652215.420200
139, 158652224.216300
143, 158652246.832000
147, 158652265.024300
148, 158652272.787100
153, 158652296.663300
157, 158652313.769600
158, 158652321.912400
163, 158652348.103600
167, 158652364.702500
168, 158652372.447300
171, 158652385.925800
175, 158652404.973900
178, 158652420.874100
183, 158652447.888800
187, 158652464.856500
190, 158652481.560300
194, 158652501.172300
197, 158652522.105400
198, 158652524.912000
203, 158652550.613200
207, 158652565.085600
210, 158652581.523400
213, 158652598.971900
217, 158652613.580800
220, 158652632.100000
223, 158652647.902500
227, 158652666.084600
230, 158652680.944000
233, 158652696.879400
237, 158652714.274500
240, 158652731.232500
243, 158652748.061800
247, 158652763.701600
248, 158652771.423700
251, 158652787.133900
255, 158652804.082800
258, 158652821.199300
260, 158652832.834900
267, 158652863.815600
270, 158652880.044300
274, 158652898.754000
278, 158652922.447800
280, 158652932.267700
283, 158652946.632900
285, 158652954.571200
290, 158652981.490100
293, 158652998.129900
295, 158653004.891600
300, 158653033.130600
304, 158653048.316800
305, 158653057.072500
310, 158653080.408200
313, 158653098.100900
315, 158653106.025100
320, 158653130.021200
322, 158653138.562600
324, 158653154.274000
330, 158653181.203200
334, 158653198.784200
335, 158653206.856800
338, 158653219.223800
341, 158653237.917600
345, 158653255.124700
348, 158653271.817900
353, 158653297.953000
357, 158653315.220500
360, 158653332.104800
361, 158653337.758100
367, 158653364.193600
370, 158653381.322200
372, 158653388.912700
377, 158653415.163700
380, 158653432.697000
382, 158653439.770500
387, 158653464.950500
390, 158653481.134100
393, 158653496.834500
395, 158653504.751000
400, 158653531.268000
404, 158653551.155700
405, 158653558.896000
410, 158653579.946000
413, 158653598.147400
416, 158653613.522200
420, 158653633.150200
423, 158653647.332500
427, 158653664.699600
430, 158653680.183400
434, 158653698.407500
437, 158653714.346400
440, 158653730.099300
444, 158653749.131900
447, 158653765.720900
450, 158653781.429900
452, 158653791.004300
456, 158653813.189800
460, 158653832.149700
462, 158653839.450500
466, 158653863.186700
470, 158653881.447900
472, 158653889.260800
476, 158653913.703600
480, 158653931.463600
482, 158653939.155600
485, 158653954.135100
490, 158653982.427700
494, 158654000.388600
495, 158654008.072900
500, 158654031.442300
503, 158654048.496400
507, 158654064.456300
510, 158654082.948800
513, 158654097.745300
517, 158654117.165400
521, 158654137.446600
524, 158654148.397400
527, 158654164.987900
528, 158654173.341900
534, 158654198.361900
537, 158654215.819600
539, 158654223.867400
543, 158654247.311700
547, 158654264.803100
549, 158654273.517400
553, 158654297.011400
556, 158654313.179800
558, 158654321.786700
563, 158654348.095800
567, 158654365.055000
568, 158654375.789000
571, 158654385.976900
575, 158654407.098000
0, 158654421.739900
3, 158654437.193300
7, 158654454.325100
12, 158654482.052300
17, 158654504.743400
20, 158654523.661800
22, 158654530.024600
25, 158654547.410500
29, 158654564.639100
30, 158654575.630500
36, 158654598.392700
39, 158654615.507500
42, 158654632.043800
45, 158654648.984000
48, 158654664.234000
52, 158654681.115000
55, 158654697.852100
59, 158654714.937700
62, 158654732.473000
65, 158654747.569400
69, 158654766.400000
72, 158654781.672500
75, 158654798.138700
77, 158654806.080100
80, 158654820.003700
83, 158654837.376700
87, 158654856.324300
89, 158654865.853200
95, 158654896.569000
98, 158654913.107100
102, 158654931.379500
105, 158654948.043400
107, 158654956.221300
112, 158654981.188400
115, 158654998.084800
117, 158655005.895300
122, 158655031.256000
125, 158655048.049400
127, 158655055.215700
132, 158655081.068000
135, 158655098.322800
137, 158655106.111900
142, 158655130.323800
146, 158655148.411100
147, 158655158.959400
150, 158655171.324700
155, 158655198.078600
159, 158655215.187300
161, 158655223.340000
163, 158655235.944100
167, 158655254.296900
170, 158655270.719400
173, 158655287.397200
177, 158655304.411700
182, 158655331.134100
186, 158655348.235100
187, 158655355.959900
192, 158655381.017800
195, 158655398.078500
197, 158655407.529000
202, 158655430.017500
205, 158655447.954400
207, 158655456.342100
212, 158655481.797800
216, 158655498.279300
219, 158655514.456300
222, 158655532.383600
223, 158655537.855800
227, 158655554.121200
232, 158655581.536400
236, 158655598.415900
239, 158655614.426500
242, 158655631.088000
245, 158655646.768300
249, 158655665.085400
252, 158655681.493700
255, 158655696.542300
259, 158655716.560200
262, 158655733.734300
265, 158655746.829100
269, 158655766.119600
272, 158655779.832600
276, 158655798.852700
277, 158655806.004100
282, 158655830.286900
286, 158655848.649400
287, 158655856.856700
292, 158655881.670300
295, 158655898.201700
297, 158655906.482600
302, 158655929.973600
303, 158655937.790500
307, 158655954.723600
309, 158655966.141900
315, 158655996.772500
317, 158656006.981200
320, 158656019.730400
323, 158656037.375400
327, 158656054.510900
332, 158656082.441500
335, 158656098.230100
339, 158656113.610500
342, 158656130.860600
344, 158656139.383300
349, 158656164.866300
352, 158656182.687800
354, 158656189.560100
359, 158656215.676400
362, 158656231.229200
364, 158656239.191600
369, 158656265.396500
372, 158656281.391600
374, 158656289.835400
379, 158656314.562800
382, 158656331.222200
383, 158656338.948100
387, 158656354.020100
392, 158656380.479500
394, 158656388.855800
396, 158656402.845900
400, 158656421.221100
403, 158656437.145300
407, 158656454.274600
409, 158656467.057900
415, 158656496.687800
419, 158656513.540600
422, 158656530.255900
426, 158656548.282700
427, 158656557.589900
432, 158656581.205100
435, 158656598.336400
438, 158656613.469600
442, 158656631.294600
445, 158656646.845200
449, 158656666.044300
452, 158656679.770200
455, 158656696.732000
459, 158656714.809000
462, 158656731.119800
465, 158656746.863600
469, 158656764.511000
472, 158656781.062500
475, 158656796.745200
477, 158656805.140300
480, 158656821.440000
483, 158656839.223600
487, 158656854.182100
490, 158656870.553600
495, 158656897.834400
499, 158656916.287500
502, 158656933.110900
504, 158656941.259300
509, 158656963.700900
512, 158656981.372000
514, 158656988.961500
519, 158657013.737300
522, 158657029.947200
523, 158657037.823400
529, 158657065.942600
532, 158657082.415600
534, 158657088.736800
539, 158657114.635800
542, 158657131.343700
544, 158657138.171500
547, 158657154.051200
550, 158657171.252600
553, 158657187.616900
556, 158657199.576200
562, 158657229.915700
565, 158657246.746100
569, 158657264.540600
570, 158657272.483800
575, 158657298.113600
2, 158657322.040600
4, 158657331.140100
7, 158657348.058800
9, 158657355.816100
14, 158657381.726300
18, 158657398.353800
19, 158657406.127300
24, 158657430.072900
28, 158657448.388000
29, 158657456.517700
34, 158657481.986700
38, 158657498.230500
41, 158657514.654100
44, 158657531.439300
46, 158657539.180200
48, 158657553.020500
54, 158657579.913600
57, 158657596.950100
61, 158657614.763400
64, 158657631.007100
67, 158657647.902500
71, 158657664.910900
74, 158657680.987000
77, 158657697.946300
81, 158657713.517900
84, 158657730.437400
87, 158657747.564200
91, 158657764.507800
94, 158657781.226800
98, 158657798.518200
99, 158657807.041500
104, 158657830.023300
107, 158657848.064400
109, 158657855.903800
114, 158657880.019400
117, 158657896.641700
119, 158657904.866900
124, 158657929.889200
125, 158657937.787600
127, 158657947.541800
134, 158657980.300700
136, 158657988.670800
138, 158658002.718000
142, 158658020.816700
144, 158658032.552100
150, 158658063.141300
154, 158658079.802700
157, 158658096.921900
160, 158658113.181300
164, 158658131.012200
167, 158658146.780900
171, 158658164.853700
172, 158658172.746900
177, 158658197.065900
181, 158658214.752900
182, 158658222.615000
187, 158658246.509600
191, 158658265.332500
193, 158658273.604000
198, 158658298.305700
201, 158658315.093800
202, 158658322.875900
205, 158658336.076500
211, 158658363.661600
214, 158658380.060200
216, 158658388.320400
219, 158658403.422100
222, 158658420.942800
225, 158658437.082900
229, 158658454.099100
