Frame Number, Receipt Time
0, 26363051.051200
0, 26363237.031600
0, 26363326.300000
0, 26363396.126600
0, 26363488.180100
0, 26363852.815400
0, 26363956.231100
0, 26363957.456500
0, 26363958.246300
0, 26363959.029400
0, 26363959.862000
0, 26363960.557800
0, 26364232.000700
1, 26364803.564100
2, 26364810.986600
4, 26364817.354000
6, 26364828.321400
8, 26364837.407600
10, 26364850.897800
14, 26364867.434500
17, 26364883.929400
20, 26364900.777800
24, 26364917.405100
27, 26364934.389300
30, 26364952.372200
34, 26364967.784600
37, 26364985.366700
40, 26365001.458400
44, 26365018.428200
47, 26365035.405700
49, 26365044.378100
51, 26365056.390400
57, 26365084.695300
62, 26365107.098400
64, 26365118.910200
66, 26365127.787800
70, 26365151.366600
74, 26365168.324700
76, 26365176.340500
79, 26365192.996800
84, 26365218.251700
87, 26365234.395300
90, 26365251.358800
94, 26365268.052400
96, 26365280.484900
98, 26365288.722600
105, 26365324.435700
107, 26365333.314900
110, 26365351.092000
112, 26365359.954700
114, 26365367.582100
120, 26365401.147800
123, 26365415.973500
125, 26365423.840200
127, 26365431.334000
128, 26365441.423400
130, 26365450.985600
136, 26365476.454500
138, 26365490.244400
140, 26365500.710900
145, 26365526.156300
151, 26365553.347300
153, 26365562.296800
155, 26365575.176100
160, 26365601.043200
162, 26365610.189100
165, 26365624.887700
170, 26365650.843200
174, 26365668.128000
177, 26365684.738800
180, 26365700.747100
182, 26365708.606800
185, 26365725.416400
190, 26365751.243700
192, 26365764.519700
194, 26365768.779800
202, 26365806.392700
204, 26365817.380000
205, 26365826.498200
207, 26365834.500200
214, 26365868.300300
217, 26365888.078600
219, 26365891.934400
220, 26365899.458400
225, 26365935.590900
230, 26365951.261400
232, 26365958.826300
234, 26365967.489800
237, 26365983.999900
242, 26366007.577600
245, 26366023.825400
250, 26366051.548700
254, 26366067.429000
257, 26366083.912000
260, 26366100.896500
264, 26366117.501100
265, 26366126.162100
269, 26366141.577800
272, 26366159.374300
275, 26366174.841900
279, 26366192.863800
284, 26366217.614600
285, 26366225.928700
289, 26366241.518100
294, 26366267.259600
295, 26366275.998600
298, 26366290.998000
301, 26366301.633300
305, 26366324.259800
308, 26366340.609300
312, 26366360.863900
314, 26366377.436200
319, 26366402.428600
322, 26366423.280700
325, 26366439.839300
331, 26366459.665400
335, 26366479.599600
337, 26366500.903300
342, 26366521.854000
347, 26366541.884600
352, 26366558.315800
357, 26366585.672000
359, 26366595.939600
361, 26366615.763800
365, 26366635.429300
370, 26366656.093400
374, 26366675.493300
378, 26366696.026600
384, 26366717.507600
387, 26366735.924100
394, 26366767.741200
397, 26366784.080000
399, 26366796.005700
402, 26366816.204300
407, 26366835.560800
410, 26366855.922900
414, 26366875.398700
417, 26366895.323000
422, 26366915.364700
425, 26366935.297200
430, 26366955.386000
434, 26366976.018000
441, 26367001.421700
442, 26367016.227700
444, 26367035.940600
449, 26367055.342200
454, 26367075.406800
457, 26367095.953200
464, 26367117.571000
467, 26367135.666000
470, 26367155.289100
477, 26367184.320500
480, 26367200.736800
482, 26367215.613400
487, 26367235.475200
490, 26367256.080900
495, 26367275.889800
498, 26367295.772200
502, 26367315.773800
507, 26367335.885300
510, 26367355.665900
514, 26367375.910300
518, 26367396.184000
522, 26367416.059600
527, 26367435.872400
531, 26367455.405600
533, 26367475.740800
538, 26367495.624100
544, 26367517.608800
546, 26367535.464200
548, 26367555.943900
554, 26367575.369700
559, 26367595.961000
561, 26367615.321800
