Frame Number, Receipt Time, Data Delivered, Data Synchronized, Data Processed, Delivered To DataStream, Network Transmission
91855, 611514364.373100, 0.003230, 0.000173, 0.001323, 0.000109, 
91856, 611514365.915000, 0.003246, 0.000153, 0.001298, 0.000115, 
91857, 611514371.918700, 0.003282, 0.000158, 0.001318, 0.000105, 
91858, 611514381.083800, 0.003227, 0.000170, 0.001259, 0.000111, 
91859, 611514381.383700, 0.003354, 0.000150, 0.001264, 0.000094, 
91861, 611514391.492800, 0.003377, 0.000242, 0.001310, 0.000111, 
91862, 611514397.686800, 0.003294, 0.000156, 0.001345, 0.000110, 
91863, 611514405.079300, 0.003235, 0.000213, 0.001548, 0.000148, 
91864, 611514405.329500, 0.003226, 0.000156, 0.001357, 0.000116, 
91865, 611514412.688400, 0.003228, 0.000178, 0.001332, 0.000116, 
91866, 611514418.687000, 0.003229, 0.000158, 0.001271, 0.000113, 
91867, 611514419.970400, 0.003254, 0.000178, 0.001408, 0.000123, 
91868, 611514424.956900, 0.003223, 0.000198, 0.001393, 0.000124, 
91869, 611514429.892700, 0.003229, 0.000172, 0.001368, 0.000117, 
91870, 611514434.881400, 0.003237, 0.000185, 0.001333, 0.000114, 
91871, 611514439.895000, 0.003233, 0.000165, 0.001358, 0.000118, 
91875, 611514468.034400, 0.003230, 0.000187, 0.001435, 0.000115, 
91876, 611514468.547900, 0.003197, 0.000181, 0.001356, 0.000117, 
91877, 611514471.151700, 0.003221, 0.000213, 0.001515, 0.000121, 
91878, 611514477.913600, 0.003333, 0.000209, 0.001420, 0.000122, 
91879, 611514480.108100, 0.003217, 0.000194, 0.001534, 0.000129, 
91880, 611514485.010800, 0.003225, 0.000181, 0.001432, 0.000121, 
91881, 611514491.115400, 0.003235, 0.000217, 0.001325, 0.000125, 
91885, 611514511.389900, 0.003349, 0.000148, 0.001234, 0.000105, 0.000657
91888, 611514530.995400, 0.003269, 0.000161, 0.001270, 0.000112, 0.000628
91893, 611514551.640600, 0.003265, 0.000176, 0.001370, 0.000110, 0.000638
91897, 611514571.240700, 0.003259, 0.000205, 0.001421, 0.000119, 0.000642
91901, 611514593.272600, 0.003229, 0.000216, 0.001335, 0.000108, 0.000464
91905, 611514611.549000, 0.003229, 0.000169, 0.001390, 0.000112, 0.000396
91909, 611514631.172300, 0.003238, 0.000179, 0.001391, 0.000114, 0.000399
91913, 611514650.797100, 0.003178, 0.000192, 0.001402, 0.000109, 0.000401
91928, 611514726.757800, 0.003234, 0.000157, 0.001292, 0.000113, 0.000404
91929, 611514729.874000, 0.003207, 0.000161, 0.001329, 0.000118, 0.000404
91930, 611514737.093100, 0.003221, 0.000160, 0.001324, 0.000115, 0.000411
91933, 611514755.369500, 0.003356, 0.000284, 0.001502, 0.000120, 0.000413
91934, 611514758.112100, 0.003221, 0.000160, 0.001253, 0.000109, 0.000413
91937, 611514771.608700, 0.003411, 0.000187, 0.001195, 0.000098, 0.000491
91940, 611514792.134700, 0.003282, 0.000153, 0.001377, 0.000158, 0.000431
91945, 611514810.969900, 0.003388, 0.000295, 0.001435, 0.000121, 0.000437
91949, 611514831.744600, 0.003352, 0.000298, 0.001322, 0.000124, 0.000312
91953, 611514851.407100, 0.003251, 0.000194, 0.001341, 0.000112, 0.000382
91957, 611514871.123000, 0.003228, 0.000170, 0.001344, 0.000116, 0.000404
91961, 611514891.790800, 0.003375, 0.000295, 0.001292, 0.000114, 0.000409
91965, 611514913.622900, 0.003412, 0.000213, 0.001237, 0.000103, 0.000411
91969, 611514930.739000, 0.003411, 0.000195, 0.001196, 0.000106, 0.000367
91973, 611514951.184100, 0.003237, 0.000193, 0.001329, 0.000110, 0.000322
91977, 611514971.355800, 0.003391, 0.000174, 0.001329, 0.000116, 0.000320
91981, 611514991.152400, 0.003224, 0.000214, 0.001673, 0.000148, 0.000318
91985, 611515011.408800, 0.003314, 0.000155, 0.001287, 0.000101, 0.000320
91989, 611515030.812700, 0.003236, 0.000152, 0.001268, 0.000106, 0.000317
91993, 611515051.070700, 0.003298, 0.000292, 0.001148, 0.000111, 0.000316
91997, 611515071.534900, 0.003252, 0.000146, 0.001193, 0.000108, 0.000321
92001, 611515091.337500, 0.003569, 0.000151, 0.001400, 0.000109, 0.000312
92005, 611515111.108800, 0.003237, 0.000170, 0.001317, 0.000111, 0.000315
92009, 611515131.736500, 0.003425, 0.000170, 0.001265, 0.000101, 0.000314
92013, 611515150.813400, 0.003272, 0.000146, 0.001196, 0.000099, 0.000263
92017, 611515172.504600, 0.003421, 0.000165, 0.001240, 0.000097, 0.000248
92021, 611515191.653900, 0.003185, 0.000382, 0.001576, 0.000110, 0.000249
92025, 611515212.020400, 0.003363, 0.000183, 0.001362, 0.000112, 0.000211
92029, 611515231.524700, 0.003183, 0.000191, 0.001425, 0.000111, 0.000209
92033, 611515251.173500, 0.003428, 0.000274, 0.001225, 0.000105, 0.000137
92037, 611515271.946000, 0.003381, 0.000221, 0.001275, 0.000103, 0.000132
92041, 611515291.332500, 0.003362, 0.000187, 0.001853, 0.000126, 0.000139
92045, 611515311.643600, 0.003376, 0.000380, 0.001588, 0.000101, 0.000135
92049, 611515331.471600, 0.003230, 0.000144, 0.001200, 0.000109, 0.000135
92053, 611515351.227400, 0.003242, 0.000190, 0.001400, 0.000116, 0.000145
