Frame Number, Receipt Time, Data Delivered, Data Synchronized, Data Processed, Delivered To DataStream, Network Transmission
1638903, 619249435.268800, 0.003237, 0.000163, 0.001192, 0.000110, 
1638908, 619249458.848900, 0.003237, 0.000149, 0.001129, 0.000103, 
1638910, 619249469.262900, 0.003383, 0.000404, 0.001309, 0.000106, 
1638911, 619249472.171900, 0.003286, 0.000405, 0.001408, 0.000124, 
1638912, 619249476.409400, 0.003432, 0.000446, 0.001347, 0.000116, 
1638913, 619249481.276400, 0.003309, 0.000379, 0.001362, 0.000113, 
1638914, 619249486.090400, 0.003420, 0.000376, 0.001165, 0.000098, 
1638915, 619249491.593100, 0.003403, 0.000261, 0.001210, 0.000109, 
1638916, 619249495.823800, 0.003234, 0.000179, 0.001250, 0.000114, 
1638917, 619249501.188900, 0.003664, 0.000203, 0.001171, 0.000109, 
1638918, 619249506.037500, 0.003240, 0.000177, 0.001462, 0.000112, 
1638919, 619249510.838500, 0.003219, 0.000177, 0.001263, 0.000121, 
1638920, 619249516.111900, 0.003325, 0.000385, 0.001195, 0.000102, 
1638921, 619249521.035600, 0.003371, 0.000391, 0.001130, 0.000110, 
1638922, 619249525.753700, 0.003234, 0.000180, 0.001182, 0.000110, 
1638923, 619249531.146300, 0.003377, 0.000388, 0.001235, 0.000109, 
1638924, 619249536.020100, 0.003374, 0.000388, 0.001135, 0.000097, 
1638925, 619249540.769800, 0.003243, 0.000181, 0.001186, 0.000120, 
1638926, 619249545.761400, 0.003174, 0.000172, 0.001199, 0.000115, 
1638927, 619249551.209300, 0.003417, 0.000437, 0.001204, 0.000109, 
1638928, 619249555.905100, 0.003236, 0.000166, 0.001345, 0.000111, 
1638929, 619249561.363700, 0.003405, 0.000412, 0.001393, 0.000108, 0.000083
1638930, 619249565.954100, 0.003420, 0.000360, 0.001057, 0.000098, 0.000083
1638931, 619249570.817000, 0.003240, 0.000147, 0.001278, 0.000112, 0.000079
1638932, 619249576.354800, 0.003426, 0.000413, 0.001373, 0.000102, 0.000079
1638933, 619249580.781800, 0.003236, 0.000177, 0.001226, 0.000103, 0.000078
1638934, 619249586.212000, 0.003434, 0.000391, 0.001217, 0.000109, 0.000078
1638935, 619249590.845400, 0.003237, 0.000161, 0.001285, 0.000116, 0.000074
1638936, 619249596.029800, 0.003366, 0.000377, 0.001097, 0.000099, 0.000074
1638937, 619249601.279900, 0.003400, 0.000364, 0.001373, 0.000113, 0.000074
1638938, 619249605.962200, 0.003296, 0.000185, 0.001291, 0.000117, 0.000074
1638939, 619249611.215700, 0.003377, 0.000391, 0.001294, 0.000110, 0.000076
1638940, 619249615.630100, 0.003242, 0.000167, 0.001095, 0.000103, 0.000076
1638941, 619249621.072100, 0.003239, 0.000181, 0.001487, 0.000117, 0.000075
1638942, 619249625.735800, 0.003182, 0.000166, 0.001176, 0.000106, 0.000075
1638943, 619249631.005700, 0.003358, 0.000296, 0.001080, 0.000102, 0.000075
1638944, 619249635.753100, 0.003191, 0.000148, 0.001183, 0.000107, 0.000075
1638945, 619249640.820400, 0.003234, 0.000160, 0.001256, 0.000114, 0.000068
1638946, 619249646.158000, 0.003355, 0.000365, 0.001283, 0.000104, 0.000068
1638947, 619249651.319900, 0.003486, 0.000189, 0.001476, 0.000119, 0.000068
1638948, 619249655.817800, 0.003236, 0.000169, 0.001242, 0.000118, 0.000068
1638949, 619249661.219400, 0.003398, 0.000408, 0.001260, 0.000110, 0.000067
1638950, 619249666.148100, 0.003239, 0.000167, 0.001499, 0.000181, 0.000067
1638951, 619249671.136700, 0.003225, 0.000333, 0.001394, 0.000127, 0.000068
1638952, 619249676.158400, 0.003376, 0.000395, 0.001230, 0.000114, 0.000068
1638953, 619249680.761000, 0.003239, 0.000161, 0.001215, 0.000114, 0.000069
1638954, 619249685.991200, 0.003231, 0.000210, 0.001370, 0.000134, 0.000069
1638955, 619249691.350200, 0.003296, 0.000410, 0.001460, 0.000113, 0.000079
1638956, 619249696.279700, 0.003425, 0.000408, 0.001258, 0.000151, 0.000079
1638957, 619249700.748500, 0.003292, 0.000173, 0.001144, 0.000112, 0.000080
1638958, 619249705.788000, 0.003185, 0.000172, 0.001244, 0.000103, 0.000080
1638959, 619249710.779800, 0.003288, 0.000168, 0.001181, 0.000109, 0.000079
1638960, 619249715.833300, 0.003274, 0.000183, 0.001223, 0.000110, 0.000079
1638961, 619249721.205900, 0.003365, 0.000363, 0.001319, 0.000108, 0.000080
1638962, 619249726.220700, 0.003414, 0.000375, 0.001295, 0.000103, 0.000080
1638963, 619249730.680700, 0.003239, 0.000178, 0.001138, 0.000108, 0.000082
1638964, 619249736.164100, 0.003436, 0.000386, 0.001192, 0.000107, 0.000082
1638965, 619249741.689500, 0.003244, 0.000164, 0.001254, 0.000107, 0.000080
1638966, 619249745.881900, 0.003303, 0.000209, 0.001214, 0.000121, 0.000080
1638967, 619249751.383400, 0.003374, 0.000414, 0.001438, 0.000115, 0.000078
1638968, 619249755.809600, 0.003230, 0.000160, 0.001270, 0.000107, 0.000078
1638969, 619249760.918800, 0.003246, 0.000206, 0.001302, 0.000120, 0.000079
1638970, 619249765.761000, 0.003240, 0.000173, 0.001174, 0.000117, 0.000079
1638971, 619249771.166000, 0.003368, 0.000463, 0.001174, 0.000113, 0.000077
1638972, 619249775.909100, 0.003267, 0.000179, 0.001313, 0.000116, 0.000077
1638973, 619249781.148000, 0.003365, 0.000421, 0.001190, 0.000118, 0.000075
1638974, 619249786.107600, 0.003339, 0.000396, 0.001241, 0.000103, 0.000075
1638975, 619249791.062400, 0.003407, 0.000364, 0.001164, 0.000109, 0.000064
1638976, 619249796.184900, 0.003420, 0.000284, 0.001319, 0.000126, 0.000064
1638977, 619249800.998200, 0.003390, 0.000249, 0.001224, 0.000108, 0.000066
1638978, 619249805.620400, 0.003235, 0.000145, 0.001115, 0.000100, 0.000066
1638979, 619249810.781200, 0.003263, 0.000162, 0.001215, 0.000107, 0.000067
1638980, 619249816.177600, 0.003406, 0.000384, 0.001261, 0.000101, 0.000067
1638981, 619249821.280200, 0.003415, 0.000433, 0.001264, 0.000132, 0.000065
1638982, 619249825.851400, 0.003245, 0.000191, 0.001263, 0.000112, 0.000065
1638983, 619249831.427000, 0.003366, 0.000249, 0.001609, 0.000110, 0.000063
1638984, 619249836.261500, 0.003403, 0.000411, 0.001187, 0.000114, 0.000063
1638985, 619249840.808700, 0.003220, 0.000161, 0.001267, 0.000117, 0.000065
1638986, 619249845.777700, 0.003229, 0.000172, 0.001214, 0.000120, 0.000065
1638987, 619249851.141500, 0.003351, 0.000416, 0.001211, 0.000115, 0.000067
1638989, 619249863.306300, 0.003402, 0.000329, 0.001337, 0.000115, 0.000067
1638990, 619249866.808200, 0.003357, 0.000366, 0.001266, 0.000094, 0.000067
1638991, 619249871.347500, 0.003236, 0.000184, 0.001399, 0.000115, 0.000068
1638992, 619249876.109400, 0.003376, 0.000277, 0.001288, 0.000107, 0.000072
1638993, 619249881.118500, 0.003357, 0.000377, 0.001247, 0.000101, 0.000072
1638994, 619249889.731500, 0.003269, 0.000171, 0.001133, 0.000104, 0.000071
1638995, 619249893.518100, 0.003350, 0.000391, 0.001307, 0.000113, 0.000071
1638996, 619249896.404300, 0.003409, 0.000409, 0.001167, 0.000105, 0.000071
1638997, 619249901.309100, 0.003429, 0.000414, 0.001334, 0.000114, 0.000072
1638998, 619249907.006500, 0.003245, 0.000198, 0.001272, 0.000121, 0.000069
1638999, 619249911.369800, 0.003350, 0.000392, 0.001437, 0.000113, 0.000069
1639000, 619249916.245200, 0.003358, 0.000404, 0.001291, 0.000150, 0.000068
1639001, 619249922.964400, 0.003325, 0.000403, 0.001301, 0.000108, 0.000068
1639002, 619249926.680900, 0.003220, 0.000156, 0.001130, 0.000104, 0.000072
1639003, 619249930.822800, 0.003225, 0.000144, 0.001308, 0.000107, 0.000072
1639004, 619249935.956600, 0.003239, 0.000191, 0.001337, 0.000126, 0.000073
1639005, 619249940.983200, 0.003239, 0.000181, 0.001393, 0.000121, 0.000073
1639006, 619249946.265000, 0.003358, 0.000390, 0.001374, 0.000111, 0.000072
1639007, 619249950.773100, 0.003282, 0.000163, 0.001179, 0.000108, 0.000072
1639008, 619249955.854300, 0.003193, 0.000151, 0.001338, 0.000101, 0.000070
1639009, 619249960.677000, 0.003276, 0.000160, 0.001101, 0.000107, 0.000070
1639010, 619249965.751900, 0.003191, 0.000159, 0.001216, 0.000110, 0.000068
1639011, 619249971.367700, 0.003443, 0.000457, 0.001333, 0.000101, 0.000068
1639012, 619249976.155700, 0.003414, 0.000418, 0.001200, 0.000102, 0.000066
1639013, 619249980.663700, 0.003237, 0.000163, 0.001144, 0.000098, 0.000066
1639014, 619249986.120400, 0.003425, 0.000291, 0.001277, 0.000104, 0.000066
1639015, 619249991.352900, 0.003369, 0.000429, 0.001418, 0.000107, 0.000066
1639016, 619249995.712600, 0.003231, 0.000164, 0.001179, 0.000114, 0.000068
1639017, 619250001.085300, 0.003403, 0.000417, 0.001127, 0.000105, 0.000068
1639018, 619250005.705100, 0.003242, 0.000158, 0.001179, 0.000108, 0.000067
1639019, 619250010.884400, 0.003184, 0.000166, 0.001338, 0.000119, 0.000067
1639020, 619250016.262600, 0.003408, 0.000387, 0.001333, 0.000108, 0.000068
1639021, 619250021.102300, 0.003403, 0.000377, 0.001191, 0.000107, 0.000068
1639022, 619250025.962500, 0.003476, 0.000213, 0.001138, 0.000109, 0.000064
1639023, 619250031.202500, 0.003364, 0.000385, 0.001310, 0.000107, 0.000064
1639024, 619250036.136700, 0.003407, 0.000380, 0.001230, 0.000101, 0.000066
1639025, 619250040.911400, 0.003234, 0.000156, 0.001315, 0.000170, 0.000066
1639026, 619250046.188700, 0.003338, 0.000398, 0.001301, 0.000114, 0.000069
1639027, 619250050.967700, 0.003247, 0.000174, 0.001397, 0.000118, 0.000069
1639028, 619250055.812100, 0.003235, 0.000191, 0.001226, 0.000121, 0.000070
1639029, 619250060.790800, 0.003263, 0.000182, 0.001187, 0.000114, 0.000070
1639030, 619250066.131600, 0.003418, 0.000386, 0.001158, 0.000142, 0.000071
1639031, 619250071.204800, 0.003410, 0.000417, 0.001219, 0.000124, 0.000071
1639032, 619250075.884700, 0.003246, 0.000194, 0.001293, 0.000115, 0.000069
1639033, 619250081.099400, 0.003357, 0.000389, 0.001196, 0.000114, 0.000069
1639034, 619250085.689900, 0.003236, 0.000153, 0.001176, 0.000105, 0.000069
1639035, 619250090.867100, 0.003295, 0.000165, 0.001252, 0.000114, 0.000069
1639036, 619250096.068500, 0.003368, 0.000392, 0.001179, 0.000102, 0.000067
1639037, 619250100.974300, 0.003355, 0.000361, 0.001085, 0.000106, 0.000067
1639038, 619250107.870800, 0.003185, 0.000161, 0.001377, 0.000117, 0.000067
1639039, 619250112.114600, 0.003403, 0.000386, 0.001329, 0.000097, 0.000067
1639040, 619250115.803500, 0.003245, 0.000162, 0.001275, 0.000106, 0.000065
1639041, 619250121.100400, 0.003231, 0.000172, 0.001542, 0.000110, 0.000065
1639042, 619250125.755000, 0.003232, 0.000163, 0.001196, 0.000119, 0.000065
1639043, 619250130.768800, 0.003263, 0.000162, 0.001206, 0.000111, 0.000065
