Frame Number, Timestamp
56718, 623124121.199300
56719, 623124121.232300
56720, 623124121.240700
56721, 623124121.264000
56722, 623124121.288000
56723, 623124121.319600
56724, 623124121.343200
56725, 623124121.367000
56726, 623124121.394300
56727, 623124121.450300
63081, 623124125.231900
63082, 623124129.784600
63083, 623124134.953300
63084, 623124140.033000
63085, 623124144.996200
63086, 623124149.725300
63087, 623124155.457900
63088, 623124161.304700
63089, 623124166.927400
63090, 623124171.688400
63091, 623124181.278100
63092, 623124181.290800
63093, 623124186.304000
63094, 623124193.757600
63095, 623124194.872300
63096, 623124200.751200
63097, 623124205.692800
63098, 623124211.306000
63099, 623124216.361100
63100, 623124223.810300
63101, 623124229.695400
63102, 623124230.077500
63103, 623124234.971400
63104, 623124239.981300
63105, 623124244.926200
63106, 623124252.702800
63107, 623124256.251800
63108, 623124261.300700
63109, 623124266.916600
63110, 623124269.904200
63111, 623124276.713300
63112, 623124281.260300
63113, 623124286.301700
63114, 623124289.867500
63115, 623124295.552200
63116, 623124300.040600
63117, 623124304.745100
63118, 623124309.749000
63119, 623124316.155900
63120, 623124321.736100
63121, 623124330.722100
63122, 623124330.737800
63123, 623124335.740900
63124, 623124343.802400
63125, 623124345.162100
63126, 623124349.902500
63127, 623124356.279300
63128, 623124360.163000
63129, 623124366.746900
63130, 623124373.800500
63131, 623124377.728700
63132, 623124381.289200
63133, 623124386.299200
63134, 623124392.733900
63135, 623124396.743800
63136, 623124401.468200
63137, 623124406.253300
63138, 623124411.296300
63139, 623124414.965200
63140, 623124423.740300
63141, 623124426.744700
63142, 623124430.467100
63143, 623124436.299800
63144, 623124439.787500
63145, 623124446.694300
63146, 623124449.859500
63147, 623124455.136300
63148, 623124460.706000
63149, 623124465.206500
63150, 623124469.869400
63151, 623124474.763600
63152, 623124480.778500
63153, 623124484.906900
63154, 623124489.773700
63155, 623124495.281000
63156, 623124499.925300
63157, 623124505.652900
63158, 623124509.812900
63159, 623124514.929300
63160, 623124519.818800
63161, 623124525.088500
63162, 623124530.738000
63163, 623124534.858800
63164, 623124539.888300
63165, 623124544.599400
63166, 623124549.665200
63167, 623124554.614500
63168, 623124559.964400
63169, 623124564.724800
63170, 623124570.235800
63171, 623124574.935500
63172, 623124579.844400
63173, 623124584.751500
63174, 623124589.543800
63175, 623124594.824200
63176, 623124599.945000
63177, 623124604.615600
63178, 623124609.830700
63179, 623124614.983800
63180, 623124619.959500
63181, 623124624.774900
63182, 623124631.249200
63183, 623124634.946300
63184, 623124639.782500
63185, 623124644.869000
63186, 623124649.809900
63187, 623124655.751000
63188, 623124659.738900
63189, 623124665.239800
63190, 623124669.805300
63191, 623124674.621500
63192, 623124680.765900
63193, 623124684.661000
63194, 623124689.915500
63195, 623124695.177700
63196, 623124699.794500
63197, 623124704.972300
63198, 623124710.016200
63199, 623124715.115500
63200, 623124720.264200
63201, 623124724.885700
63202, 623124731.085800
63203, 623124734.669000
63204, 623124739.912500
63205, 623124744.710700
63206, 623124749.810000
63207, 623124755.641800
63208, 623124759.943300
63209, 623124764.946300
63210, 623124769.934800
63211, 623124774.657100
63212, 623124780.756800
63213, 623124784.707900
63214, 623124789.858700
63215, 623124795.161300
63216, 623124800.247500
63217, 623124804.748500
63218, 623124809.762600
63219, 623124814.747100
63220, 623124819.993400
63221, 623124824.596000
63222, 623124829.541000
63223, 623124834.847200
63224, 623124839.596400
63225, 623124844.688000
63226, 623124850.043200
63227, 623124855.700800
63228, 623124860.023900
63229, 623124864.886600
63230, 623124870.126600
63231, 623124874.853600
63232, 623124880.763200
63233, 623124884.882000
63234, 623124889.896500
63235, 623124894.905300
63236, 623124899.883000
63237, 623124905.636400
63238, 623124909.645600
63239, 623124914.736000
63240, 623124920.276300
63241, 623124924.863800
63242, 623124929.978500
63243, 623124935.222900
63244, 623124939.785600
63245, 623124945.044300
63246, 623124950.045900
63247, 623124955.638000
63248, 623124959.774400
